,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,10,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
AreaExit,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
BedEntry,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedExit,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Nobody,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0
Sit,0,0,0,0,0,4,0,0,0,0,54,0,0,0,0,0,0,0
SittingBed,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0
SittingBedrail,0,0,0,0,0,12,0,0,0,0,0,0,347,0,0,0,0,0
Stand,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0,0
StandFloor,0,0,0,0,0,19,0,0,1,0,0,0,0,0,37,0,0,0
StandingFloor,0,0,0,0,0,19,0,0,0,0,6,0,0,3,1,290,13,1
WakeUp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
Walk,0,3,0,0,0,0,0,0,0,1,12,0,0,0,0,2,0,35
