,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AreaExit,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedEntry,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedExit,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,2,0,107,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
Nobody,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
Sit,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0
SittingBed,0,0,36,3,0,0,0,0,0,0,0,65,2,0,0,0,0,0
SittingBedrail,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0
Stand,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
StandFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
StandingFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,288,0,5
WakeUp,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,51,0
Walk,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,59
