,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,12,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0
AreaExit,0,57,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
BedEntry,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedExit,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Nobody,0,1,3,0,0,0,0,0,0,73,0,16,0,0,0,0,0,0
Sit,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
SittingBed,0,0,7,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
SittingBedrail,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0
Stand,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
StandFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
StandingFloor,1,0,0,0,0,0,0,0,0,8,0,0,0,8,0,287,0,0
WakeUp,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,62,0
Walk,0,0,0,0,0,0,0,0,0,1,16,0,0,14,0,0,0,33
