,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
AreaExit,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedEntry,0,0,22,0,8,0,0,0,0,0,4,8,0,0,0,1,0,0
BedExit,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,6,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,4,0,16,0,0,0,2,0,0,0,0,0,0,0
LayingBed,0,6,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,6,1,0,9,27,0,0,0,0,0,0,0,0,0
Nobody,0,2,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
Sit,0,0,0,0,5,0,0,0,0,0,94,0,0,0,0,0,0,0
SittingBed,0,11,0,0,3,0,0,0,0,9,0,148,0,0,0,0,0,0
SittingBedrail,0,0,0,1,0,0,3,0,1,0,1,74,173,6,9,30,0,0
Stand,0,0,0,4,0,0,0,0,0,0,0,6,4,43,0,1,0,0
StandFloor,0,0,0,0,0,0,0,3,0,0,4,3,0,0,47,0,3,0
StandingFloor,0,0,0,0,12,0,0,0,0,0,0,13,35,1,0,233,0,0
WakeUp,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,0
Walk,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,1,0,12
