,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,21,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
AreaExit,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedEntry,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedExit,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Down,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,0,0,32,0,0,0,11,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
Nobody,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0
Sit,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
SittingBed,0,0,0,0,0,0,0,0,0,0,0,136,2,0,0,0,0,0
SittingBedrail,0,0,0,0,0,0,0,0,0,0,0,0,310,1,0,0,0,0
Stand,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
StandFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
StandingFloor,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,282,0,0
WakeUp,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,60,0
Walk,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
