,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AreaExit,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedEntry,0,0,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
BedExit,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Down,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FallFloor,0,0,0,0,0,0,24,0,0,0,8,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
Nobody,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
Sit,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
SittingBed,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0
SittingBedrail,0,0,0,2,0,0,0,0,0,0,5,31,296,0,0,2,0,0
Stand,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,0,2
StandFloor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
StandingFloor,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,231,0,2
WakeUp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
Walk,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,30
