,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,133.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
AreaExit,0.0,252.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
BedEntry,0.0,0.0,433.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0
BedExit,0.0,0.0,0.0,175.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Down,0.0,6.0,1.0,0.0,622.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FallBed,0.0,0.0,0.0,0.0,1.0,69.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
FallFloor,0.0,0.0,7.0,0.0,4.0,10.0,212.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LayingBed,0.0,6.0,0.0,0.0,0.0,5.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LayingFloor,0.0,0.0,0.0,1.0,7.0,7.0,0.0,10.0,240.0,0.0,0.0,2.0,3.0,4.0,8.0,1.0,2.0,0.0
Nobody,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Sit,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SittingBed,0.0,11.0,82.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1058.0,9.0,0.0,0.0,0.0,0.0,0.0
SittingBedrail,0.0,0.0,0.0,3.0,0.0,12.0,3.0,0.0,1.0,0.0,13.0,115.0,2384.0,7.0,9.0,38.0,0.0,0.0
Stand,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,515.0,0.0,1.0,0.0,4.0
StandFloor,0.0,0.0,3.0,8.0,0.0,19.0,0.0,3.0,1.0,0.0,4.0,4.0,13.0,8.0,410.0,0.0,3.0,0.0
StandingFloor,1.0,0.0,0.0,0.0,12.0,19.0,0.0,0.0,0.0,12.0,6.0,13.0,72.0,64.0,1.0,2113.0,13.0,8.0
WakeUp,0.0,2.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0
Walk,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,121.0,1.0,0.0,27.0,0.0,3.0,0.0,243.0
